State,Year,Studio,1BR,2BR,3BR,4BR
TN,2024,$1512.00,$1570.00,$1910.00,$2530.00,$2930.00
TX,2018,$599.00,$629.50,$794.50,$1056.00,$1239.00
TX,2019,$606.50,$644.00,$813.50,$1076.00,$1264.50
TX,2020,$594.50,$639.00,$809.00,$1070.00,$1238.50
TX,2021,$620.00,$672.00,$846.00,$1115.00,$1271.00
TX,2022,$658.00,$705.00,$892.50,$1172.00,$1312.00
TX,2023,$725.50,$776.00,$969.50,$1259.00,$1471.00
TX,2024,$1684.00,$1766.00,$2194.00,$2878.00,$3310.00
UT,2018,$585.00,$677.00,$874.00,$1251.00,$1337.00
UT,2019,$576.00,$661.00,$847.00,$1168.00,$1272.00
UT,2020,$596.00,$663.00,$845.00,$1150.00,$1351.00
UT,2021,$613.00,$685.00,$865.00,$1151.00,$1427.00
UT,2022,$635.00,$724.00,$938.00,$1290.00,$1522.00
UT,2023,$675.00,$776.00,$990.00,$1340.00,$1494.00
UT,2024,$1414.00,$1772.00,$2074.00,$2854.00,$3510.00
VA,2018,$696.00,$736.50,$912.00,$1253.00,$1514.50
VA,2019,$688.00,$751.00,$930.00,$1248.00,$1515.50
VA,2020,$698.00,$755.00,$959.00,$1291.00,$1499.00
VA,2021,$686.00,$771.00,$982.00,$1314.00,$1485.00
VA,2022,$761.00,$778.00,$971.00,$1268.00,$1516.00
VA,2023,$858.00,$873.00,$1053.00,$1444.00,$1700.00
VA,2024,$2018.00,$2030.00,$2412.00,$3224.00,$3898.00
VI,2018,$816.00,$921.00,$1152.00,$1444.00,$1569.00
VI,2019,$779.00,$897.00,$1123.00,$1407.00,$1518.00
VI,2020,$887.00,$1000.00,$1251.00,$1559.00,$1695.00
VI,2021,$926.00,$1044.00,$1307.00,$1626.00,$1772.00
VI,2022,$964.00,$1088.00,$1361.00,$1682.00,$1846.00
VI,2023,$1038.00,$1171.00,$1465.00,$1783.00,$1968.00
VI,2024,$2406.00,$2714.00,$3396.00,$4106.00,$4522.00
VT,2018,$796.00,$862.00,$1075.00,$1348.00,$1622.00
VT,2019,$772.00,$842.00,$1048.00,$1321.00,$1540.00
VT,2020,$787.00,$874.00,$1084.00,$1367.00,$1556.00
